#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
1.0000000000000007,-24008.289014011418,4892.086606557824,307.16929117394284,31.246100055065643,0.6108267563658785
2.0000000000000013,-24251.500276763487,4847.376847270677,304.36200950186844,30.211410877118112,0.6317465285997284
2.999999999999891,-24164.8193102801,4775.574751326292,299.8536267421529,29.28320520278635,0.6517713417485932
3.999999999999781,-23971.78803933831,4798.218594089868,301.2754112873853,28.35765451887393,0.6730441663649035
4.999999999999671,-24310.383969711635,4856.723173527592,304.9488561058448,27.593288846340894,0.6916882598520112
5.999999999999561,-24520.58527280265,4621.581399299957,290.18453610830755,26.6194177658798,0.7169936665625877
6.999999999999451,-24641.554996618273,4768.906708915324,299.434946938294,25.326194576820388,0.7536052796177962
7.999999999999341,-24565.21223070954,4748.710865817115,298.16686987669385,24.671018694874093,0.7736183974310286
8.999999999999675,-25008.7977484624,4759.9576961076855,298.8730472537822,23.480705910053807,0.8128356114518409
10.000000000000009,-24905.88827003556,4743.103926964287,297.8148157182965,22.29441657148191,0.856086719494306
11.000000000000343,-25150.43377209801,4776.67772205435,299.9228811859048,21.335950512519798,0.8945443482595222
12.000000000000677,-25136.59752755532,4814.257798968628,302.2824971363966,20.69196906050429,0.9223846164621267
13.00000000000101,-25054.958220120432,4641.716644767088,291.4488083044418,20.17008259786361,0.9462506587722653
14.000000000001345,-25144.1746436682,4740.688952522678,297.6631818558792,19.733989426538468,0.9671614559624958
15.000000000001679,-25337.082598944704,4585.746281716969,287.9344844325367,19.27346978686162,0.990270779303579
16.00000000000201,-25434.961180083512,4612.470775954646,289.6124890575909,19.342495870419604,0.9867368758189842
17.000000000001457,-25456.741037719854,4621.3749329006605,290.17157228680895,19.31506922712258,0.9881380036121533
18.000000000000902,-25680.705779849377,4695.561166114453,294.82965267332514,19.396989500285144,0.983964751099075
19.000000000000348,-25734.11099475513,4786.4321712595465,300.53535342712314,19.249178521464746,0.9915204394014377
19.999999999999794,-25508.538611600554,4647.436560347105,291.80795616006924,18.939969792472237,1.0077077289376262
20.99999999999924,-25372.28417857093,4647.774704536595,291.82918790009217,19.169349731051213,0.9956495245534239
21.999999999998685,-25327.853071893973,4691.031847095905,294.5452612010721,19.151565348030644,0.9965740971498214
22.99999999999813,-25261.076122458646,4780.511375292716,300.16359249020945,19.28881419633469,0.9894830107983624
23.999999999997577,-25521.92626101915,4876.475797562859,306.1891038797917,19.42334008809461,0.9826298597025562
24.999999999997023,-25348.327179920394,4738.652722521999,297.53532898321396,19.560157447276254,0.9757566623461488
25.99999999999647,-25196.930527522258,4784.711406502788,300.42730830586504,19.724655281248594,0.9676191382601074
26.999999999995914,-25235.29157425571,4970.930631762459,312.1198297238825,19.380134111642686,0.9848205299184946
27.99999999999536,-25002.17418244388,4783.035530530945,300.3220817071215,19.588897878924,0.9743250520619803
28.999999999994806,-25270.81647275544,4827.130445389314,303.0907579041587,19.168697829706105,0.9956833852397405
29.99999999999425,-25376.528747566234,4796.007322823829,301.13656774637514,19.254971538421543,0.9912221323015284
30.999999999993697,-25408.079932364853,4866.304315328249,305.55044654612846,19.20657600408223,0.9937197521131748
31.999999999993143,-25558.899885347215,4639.617603264976,291.3170115595756,19.252907810905153,0.991328381830658
32.999999999994365,-25663.570343774365,4808.531579647612,301.92295347509156,19.49710211930418,0.9789123444566842
33.99999999999559,-25498.384861656043,4656.628218944036,292.38509133428045,19.365737106387215,0.985552671755753
34.99999999999681,-25783.325789856724,4708.977286075271,295.67203760844563,19.341803647846746,0.9867721900818808
35.99999999999803,-25525.658939117086,4651.420109569424,292.0580792853091,19.40144078772266,0.9837389993116976
36.999999999999254,-25324.294579185997,4649.774061672893,291.95472556198416,19.422054944812473,0.9826948796073302
38.000000000000476,-25533.53150810057,4706.02420706268,295.4866166909454,19.012574846981085,1.0038595034775109
39.0000000000017,-25281.155829198513,4605.059893147012,289.14716703816003,19.128658080307268,0.9977675310830199
40.00000000000292,-25518.297759612033,4710.417052396824,295.76243911520856,19.475670874078467,0.9799895505074628
41.00000000000414,-25724.493461319973,4612.644446205325,289.6233936412766,19.236252634757953,0.9921866960321089
42.000000000005365,-25568.85437921813,4712.105396316747,295.8684485641102,18.997848919727932,1.0046376316794488
43.00000000000659,-25461.416194774007,5052.206658450085,317.22307124736795,19.401392081575718,0.9837414689353231
44.00000000000781,-25233.868816961796,4895.612394324031,307.3906719090107,19.36777730834688,0.9854488536221457
45.00000000000903,-25092.312415007793,4849.948694812445,304.52349327146345,19.49663909537216,0.9789355925580938
46.00000000001025,-24965.067494849412,4767.286036311393,299.3331865045545,19.619069731230372,0.9728266532096423
47.000000000011475,-24887.12236713228,4576.706565675483,287.36688958146544,19.68275140706397,0.9696791648178646
48.0000000000127,-25472.994284272456,4971.161283095904,312.1343120935339,19.474737544942798,0.9800365166243632
49.00000000001392,-25420.295020807927,4818.957865317168,302.57760966502934,19.189363820284797,0.9946110837475477
50.00000000001514,-25370.431203351036,4772.38723176672,299.6534855340222,19.24618024951603,0.9916749037097574
51.000000000016364,-25318.31988333803,4930.065468320916,309.55394643162447,19.374154411724607,0.9851244880225195
52.000000000017586,-25388.263942388498,4726.312926352152,296.76052535695726,19.457764392932564,0.9808914097372785
53.00000000001881,-25372.394884861627,4731.356354174149,297.07719721372547,19.440074890471607,0.9817839721941743
54.00000000002003,-25423.96099993275,4786.612240269926,300.546659782617,19.751379128293756,0.9663099382452188
