#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
10.000000000000009,-23977.63168619902,4823.872234347759,302.88617804762305,31.341775601400002,0.6089621146054947
19.999999999999794,-24330.828399076912,4639.735522694549,291.3244156042114,31.341775601400002,0.6089621146054947
29.99999999999425,-24048.728544048092,4796.0134477568035,301.1369523248734,31.341775601400002,0.6089621146054947
40.00000000000292,-24252.19525986795,4613.264308227697,289.662314166065,31.341775601400002,0.6089621146054947
50.00000000001514,-24385.84541620416,4706.455359623004,295.51368833480495,31.341775601400002,0.6089621146054947
60.00000000002736,-24403.763413502296,5187.82362210207,325.73832658653157,31.341775601400002,0.6089621146054947
70.00000000001826,-24342.863499415835,4901.214534890147,307.74242478771976,31.341775601400002,0.6089621146054947
79.99999999999496,-24233.233575236984,4888.033304130246,306.91478831376776,31.341775601400002,0.6089621146054947
89.99999999997165,-24220.1071255845,4807.722612292913,301.87215921307006,31.341775601400002,0.6089621146054947
99.99999999994834,-24305.84167311393,4793.7416162951195,300.9943062689314,31.341775601400002,0.6089621146054947
