#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
4399.9999999236015,-14301.334057781656,2689.7133563869993,297.19628825221815,10.794064572819439,1.008657977517357
4499.999999921237,-14235.575600562668,2700.178104242676,298.35257660272856,10.746827162606877,1.0130915084495322
4599.999999918872,-14409.048455375181,2714.387055601286,299.92257572315816,10.824685933067425,1.005804640294684
4699.9999999165075,-14290.242587465553,2859.804305259722,315.99026068434887,10.898188093087905,0.9990210526938085
4799.999999914143,-14345.51484245211,2648.282993718737,292.6184956124514,10.965448634201216,0.9928931961117992
4899.999999911778,-14261.737562827126,2697.7380922178077,298.08297072990956,11.117677749878005,0.9792979780630247
4999.999999909413,-14422.22179608386,2833.373218208066,313.06979298931725,10.841423531864095,1.0042518225777484
5099.999999907049,-14257.490134058236,2559.670051323524,282.82732678458035,10.995906766512675,0.990142929764469
5199.999999904684,-14217.473555904617,2574.84557383022,284.50412589425804,11.0564145582738,0.984724232600739
5299.999999902319,-14446.644073625503,2614.2751958515496,288.86084936596205,11.057382647603973,0.9846380186156465
5399.999999899955,-14269.197187205253,2666.4026464623666,294.62060246411215,10.869038355735455,1.0017003330811323
5499.99999989759,-14401.922786554336,2607.5237983059606,288.11486270299685,10.590887100222696,1.028008252583759
5599.999999895225,-14283.704047595864,2812.814782415036,310.7982160588419,11.031412982335098,0.9869560099550518
5699.999999892861,-14272.105107194555,2597.448981470285,287.00165926023084,10.746542581488107,1.0131183363072087
5799.999999890496,-14416.541833411517,2758.915294714746,304.8426640870364,10.749362538505826,1.0128525577410832
5899.999999888131,-14279.673628079327,2555.7441315883802,282.393537522059,11.140850300725747,0.9772610749919657
5999.999999885767,-14128.332283849973,2752.905407483993,304.17860961686284,11.000062265444468,0.9897688829829444
6099.999999883402,-14310.539443526883,2804.916985379511,309.9255595139526,10.690185925228594,1.0184593062612233
6199.999999881037,-14411.645917886402,2754.9909249722914,304.40904608888894,10.569482537347815,1.0300901016431214
6299.9999998786725,-14267.539331981949,2730.6139698165525,301.71554695673314,10.783392026351569,1.0096562672121892
6399.999999876308,-14253.559879451605,2619.36009496687,289.4226985085935,10.945117542676462,0.9947375438189613
6499.999999873943,-14235.492204809889,2613.501975377448,288.77541340143523,10.901461771583188,0.9987210494644192
6599.999999871578,-14400.37701605694,2645.83791641239,292.34833005811436,10.69693543760566,1.017816682611371
6699.999999869214,-14337.05106761276,2703.0159426380274,298.66613976950816,10.902498391487434,0.9986260901182685
6799.999999866849,-14286.81114939115,2715.769687573233,300.07534779796146,11.108144981743008,0.9801383902628374
6899.999999864484,-13965.555371341354,2814.3942798511775,310.97274052042087,11.061547752985488,0.9842672638892953
6999.99999986212,-14179.574979745645,2598.751014394321,287.14552565078384,10.780896147655929,1.0098900121191745
7099.999999859755,-14273.670798642372,2671.483845138591,295.18204273166333,11.1262760766174,0.9785411818148793
7199.99999985739,-14103.510725286986,2677.7596703863273,295.87548166816487,10.99224617721316,0.9904726627922098
7299.999999855026,-14167.51628270495,2761.1653722069536,305.09128339711117,11.097579990845722,0.9810714903783356
7399.999999852661,-14239.937080755742,2695.555592981784,297.8418183890776,10.87467950286552,1.0011807095871565
7499.999999850296,-14379.18825445621,2658.847098149986,293.78576223520156,11.014966472008462,0.9884296396979031
7599.999999847932,-14116.818671923174,2713.5138058386988,299.82608715587577,11.140048861069504,0.9773313813065762
7699.999999845567,-14182.994012802243,2707.0328929273874,299.10998733164956,10.924745081264737,0.9965925300978629
7799.999999843202,-14444.392918994898,2680.136422757624,296.13809774997395,10.983052889241941,0.9913017310402183
7899.9999998408375,-14278.413389421563,2772.5167689736118,306.3455408359264,10.967659505529202,0.9926930477485197
7999.999999838473,-14161.100403886514,2757.440685119277,304.67972906745376,11.030838957428925,0.9870073693605511
8099.999999836108,-14295.168245371198,2642.7644426745455,292.00873067858976,10.987582721903808,0.9908930487055609
8199.999999835562,-14228.318016949866,2762.987521055047,305.292619302668,11.082135639022852,0.9824387370674519
